datetime,tweet,label,Text_cleansing,Text_slang,Text_stopword,Text_stemming,tokens
6/26/2022 11:30,"Awasi Minyak Goreng Curah, Sosialisasi PeduliLindungi Dioptimalkan https://t.co/x5vUxLaYKB",1,awasi minyak goreng curah  sosialisasi pedulilindungi dioptimalkan ,awasi minyak goreng curah sosialisasi pedulilindungi dioptimalkan,awasi minyak goreng curah sosialisasi pedulilindungi dioptimalkan,awas minyak goreng curah sosialisasi pedulilindungi optimal,"['awas', 'minyak', 'goreng', 'curah', 'sosialisasi', 'pedulilindungi', 'optimal']"
6/26/2022 11:22,"Pada Senin, 11 Juli 2022, masyarakat yang ingin membeli minyak goreng curah seharga Rp 14.000 per liter harus menggunakan PeduliLindungi atau NIK. https://t.co/vQuQnCa7MM",0,pada senin     juli       masyarakat yang ingin membeli minyak goreng curah seharga rp       per liter harus menggunakan pedulilindungi atau nik  ,pada senin juli masyarakat yang ingin membeli minyak goreng curah seharga rp per liter harus menggunakan pedulilindungi atau nomor induk kependudukan,senin juli masyarakat membeli minyak goreng curah seharga rp liter pedulilindungi nomor induk kependudukan,senin juli masyarakat beli minyak goreng curah harga rp liter pedulilindungi nomor induk duduk,"['senin', 'juli', 'masyarakat', 'beli', 'minyak', 'goreng', 'curah', 'harga', 'rp', 'liter', 'pedulilindungi', 'nomor', 'induk', 'duduk']"
6/26/2022 11:21,Lengkap! Begini Cara Beli Migor Rp 14.000 Pakai PeduliLindungi Mulai Besok – detik- https://t.co/YoSiwLjK2j – #Opsiin https://t.co/s1B5gvL9Og,1,lengkap  begini cara beli migor rp       pakai pedulilindungi mulai besok  detik   opsiin ,lengkap begini cara beli minyak goreng rp pakai pedulilindungi mulai besok detik opsiin,lengkap beli minyak goreng rp pakai pedulilindungi besok detik opsiin,lengkap beli minyak goreng rp pakai pedulilindungi besok detik opsiin,"['lengkap', 'beli', 'minyak', 'goreng', 'rp', 'pakai', 'pedulilindungi', 'besok', 'detik', 'opsiin']"
6/26/2022 11:19,"@msaid_didu Menteri sekarang goblok goblok. Dipilih karna KKN.
Masak beli Migor rp 14 ribu seliter saja harus pakai NIK dan PeduliLindungi.
Di Malaysia hargs rp 6.800 seliter bebas belinya",-1, menteri sekarang goblok goblok  dipilih karna kkn  masak beli migor rp    ribu seliter saja harus pakai nik dan pedulilindungi  di malaysia hargs rp       seliter bebas belinya,menteri sekarang goblok goblok dipilih karena kkn masak beli minyak goreng rp ribu seliter saja harus pakai nomor induk kependudukan dan pedulilindungi di malaysia harga rp seliter bebas belinya,menteri goblok goblok dipilih kkn masak beli minyak goreng rp ribu seliter pakai nomor induk kependudukan pedulilindungi malaysia harga rp seliter bebas belinya,menteri goblok goblok pilih kkn masak beli minyak goreng rp ribu liter pakai nomor induk duduk pedulilindungi malaysia harga rp liter bebas beli,"['menteri', 'goblok', 'goblok', 'pilih', 'kkn', 'masak', 'beli', 'minyak', 'goreng', 'rp', 'ribu', 'liter', 'pakai', 'nomor', 'induk', 'duduk', 'pedulilindungi', 'malaysia', 'harga', 'rp', 'liter', 'bebas', 'beli']"
6/26/2022 11:13,Pemerintah akan memanfaatkan aplikasi PeduliLindungi untuk pembelian minyak goreng curah rakyat. https://t.co/d9EvKyeh4F,1,pemerintah akan memanfaatkan aplikasi pedulilindungi untuk pembelian minyak goreng curah rakyat  ,pemerintah akan memanfaatkan aplikasi pedulilindungi untuk pembelian minyak goreng curah rakyat,pemerintah memanfaatkan aplikasi pedulilindungi pembelian minyak goreng curah rakyat,perintah manfaat aplikasi pedulilindungi beli minyak goreng curah rakyat,"['perintah', 'manfaat', 'aplikasi', 'pedulilindungi', 'beli', 'minyak', 'goreng', 'curah', 'rakyat']"
6/26/2022 11:09,"Terkini Bisnis: Kata PHRI soal Promosi Holywings, Cara Beli Minyak Goreng via Pedulilindungi https://t.co/KzeqKMDXlU #TempoBisnis",0,terkini bisnis  kata phri soal promosi holywings  cara beli minyak goreng via pedulilindungi  tempobisnis,terkini bisnis kata phri soal promosi holywings cara beli minyak goreng via pedulilindungi tempobisnis,terkini bisnis phri promosi holywings beli minyak goreng via pedulilindungi tempobisnis,kini bisnis phri promosi holywings beli minyak goreng via pedulilindungi tempobisnis,"['kini', 'bisnis', 'phri', 'promosi', 'holywings', 'beli', 'minyak', 'goreng', 'via', 'pedulilindungi', 'tempobisnis']"
6/26/2022 11:05,"Mulai Senin (27/6/2022), Bunda bisa membeli minyak goreng seharga Rp14 ribu melalui aplikasi PeduliLindungi. Bagaimana caranya? Simak di sini yuk Bunda. https://t.co/ciqbXqThn2",1,mulai senin              bunda bisa membeli minyak goreng seharga rp   ribu melalui aplikasi pedulilindungi  bagaimana caranya  simak di sini yuk bunda  ,mulai senin bunda bisa membeli minyak goreng seharga rp ribu melalui aplikasi pedulilindungi bagaimana caranya simak di sini yuk bunda,senin bunda membeli minyak goreng seharga rp ribu aplikasi pedulilindungi simak yuk bunda,senin bunda beli minyak goreng harga rp ribu aplikasi pedulilindungi simak yuk bunda,"['senin', 'bunda', 'beli', 'minyak', 'goreng', 'harga', 'rp', 'ribu', 'aplikasi', 'pedulilindungi', 'simak', 'yuk', 'bunda']"
6/26/2022 10:55,"@iam_rahmatt Masuk mall juga pakai PeduliLindungi, di singapore kemarin jg pakai Tracetogather, ga ada masalah selama kamu mau vaksin (kalau ga egois). Ga perlu ganti KTP sama STNK karena ganti alamat. Tapi kalau Opung bukan pemimpin kita, dia layak untuk dipertanyakan over powernya 😄",0, masuk mall juga pakai pedulilindungi  di singapore kemarin jg pakai tracetogather  ga ada masalah selama kamu mau vaksin  kalau ga egois   ga perlu ganti ktp sama stnk karena ganti alamat  tapi kalau opung bukan pemimpin kita  dia layak untuk dipertanyakan over powernya ,masuk mall juga pakai pedulilindungi di singapore kemarin juga pakai tracetogather tidak ada masalah selama kamu mau vaksin kalau tidak egois tidak perlu ganti kartu tanda penduduk sama surat tanda nomor kendaraan karena ganti alamat tapi kalau opung bukan pemimpin kita dia layak untuk dipertanyakan over powernya,masuk mall pakai pedulilindungi singapore kemarin pakai tracetogather vaksin egois ganti kartu tanda penduduk surat tanda nomor kendaraan ganti alamat opung pemimpin layak over powernya,masuk mall pakai pedulilindungi singapore kemarin pakai tracetogather vaksin egois ganti kartu tanda duduk surat tanda nomor kendara ganti alamat opung pimpin layak over powernya,"['masuk', 'mall', 'pakai', 'pedulilindungi', 'singapore', 'kemarin', 'pakai', 'tracetogather', 'vaksin', 'egois', 'ganti', 'kartu', 'tanda', 'duduk', 'surat', 'tanda', 'nomor', 'kendara', 'ganti', 'alamat', 'opung', 'pimpin', 'layak', 'over', 'powernya']"
6/26/2022 10:52,"Beli Minyak Goreng Curah Wajib Pakai Aplikasi PeduliLindungi Atau NIK, Luhut Pandjaitan: Maksimal 10 Kg setiap Hari! https://t.co/ZJNeWreiwi",0,beli minyak goreng curah wajib pakai aplikasi pedulilindungi atau nik  luhut pandjaitan  maksimal    kg setiap hari  ,beli minyak goreng curah wajib pakai aplikasi pedulilindungi atau nomor induk kependudukan luhut pandjaitan maksimal kg setiap hari,beli minyak goreng curah wajib pakai aplikasi pedulilindungi nomor induk kependudukan luhut pandjaitan maksimal kg,beli minyak goreng curah wajib pakai aplikasi pedulilindungi nomor induk duduk luhut pandjaitan maksimal kg,"['beli', 'minyak', 'goreng', 'curah', 'wajib', 'pakai', 'aplikasi', 'pedulilindungi', 'nomor', 'induk', 'duduk', 'luhut', 'pandjaitan', 'maksimal', 'kg']"
6/26/2022 10:49,"@AREAJULID Yang boleh dibuka sama rakyat cuma aplikasi
PeduliLindungi
My Pertamina
Pln Mobile
JMO
Mobile JKN",0, yang boleh dibuka sama rakyat cuma aplikasi pedulilindungi my pertamina pln mobile jmo mobile jkn,yang boleh dibuka sama rakyat cuma aplikasi pedulilindungi my pertamina perusahaan listrik negara mobile jmo mobile jaminan kesehatan nasional,dibuka rakyat aplikasi pedulilindungi my pertamina perusahaan listrik negara mobile jmo mobile jaminan kesehatan nasional,buka rakyat aplikasi pedulilindungi my pertamina usaha listrik negara mobile jmo mobile jamin sehat nasional,"['buka', 'rakyat', 'aplikasi', 'pedulilindungi', 'my', 'pertamina', 'usaha', 'listrik', 'negara', 'mobile', 'jmo', 'mobile', 'jamin', 'sehat', 'nasional']"
6/26/2022 10:46,"👩🏻bu tumbas minyak ecer seperempat
🧓🏻aku ra nggadah pedulilindungi ndok tumbas minyak samin wae yo",0,bu tumbas minyak ecer seperempat aku ra nggadah pedulilindungi ndok tumbas minyak samin wae yo,bu beli minyak ecer seperempat aku ra nggadah pedulilindungi ndok beli minyak samin wae yo,bu beli minyak ecer seperempat ra nggadah pedulilindungi ndok beli minyak samin wae yo,bu beli minyak ecer empat ra nggadah pedulilindungi ndok beli minyak samin wae yo,"['bu', 'beli', 'minyak', 'ecer', 'empat', 'ra', 'nggadah', 'pedulilindungi', 'ndok', 'beli', 'minyak', 'samin', 'wae', 'yo']"
6/26/2022 10:44,Ingat! Mulai Besok Beli Minyak Goreng Curah Pakai PeduliLindungi https://t.co/a2zHa5xYLf #beritajogja #jogja #jogjaistimewa https://t.co/ptsB74LQrb,0,ingat  mulai besok beli minyak goreng curah pakai pedulilindungi  beritajogja jogja jogjaistimewa ,ingat mulai besok beli minyak goreng curah pakai pedulilindungi beritajogja jogja jogjaistimewa,besok beli minyak goreng curah pakai pedulilindungi beritajogja jogja jogjaistimewa,besok beli minyak goreng curah pakai pedulilindungi beritajogja jogja jogjaistimewa,"['besok', 'beli', 'minyak', 'goreng', 'curah', 'pakai', 'pedulilindungi', 'beritajogja', 'jogja', 'jogjaistimewa']"
6/26/2022 10:44,@tanintaannn @nudiyaaisaf btw buibu skrg beli migor curah pake pedulilindungi🙂🤲🏻,0,  by the way buibu skrg beli migor curah pake pedulilindungi,by the way buibu sekarang beli minyak goreng curah pakai pedulilindungi,by the way buibu beli minyak goreng curah pakai pedulilindungi,by the way buibu beli minyak goreng curah pakai pedulilindungi,"['by', 'the', 'way', 'buibu', 'beli', 'minyak', 'goreng', 'curah', 'pakai', 'pedulilindungi']"
6/26/2022 10:36,Ini Cara Beli Minyak Goreng Curah Pakai Aplikasi PeduliLindungi https://t.co/UCdu3BmQVt,0,ini cara beli minyak goreng curah pakai aplikasi pedulilindungi ,ini cara beli minyak goreng curah pakai aplikasi pedulilindungi,beli minyak goreng curah pakai aplikasi pedulilindungi,beli minyak goreng curah pakai aplikasi pedulilindungi,"['beli', 'minyak', 'goreng', 'curah', 'pakai', 'aplikasi', 'pedulilindungi']"
